1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Sandslash,28,1,Global,6,Wild,2,Sandshrew,,-,2,11,Linear - 2,,,,,,,,Ground,,Ground,Clear,,182,202,150,1996,2328,3,,,Metal Claw,Mud Shot,Metal Claw / Mud Shot,Rock Tomb,Bulldoze,Earthquake,,,,,Rock Tomb / Bulldoze / Earthquake,?,3,12312,1262,1330,,,,,,,,,,
Nidoran♀,29,1,Global,2,Wild,,,Nidorina,25,1,12,Linear - 1,,,,,,,,Poison,,Poison,Cloudy,,86,94,110,631,736,3,,,Poison Sting,Bite,Poison Sting / Bite,Poison Fang,Sludge Bomb,Body Slam,,,,,Poison Fang / Sludge Bomb / Body Slam,,,,,,,,,,,,,,,
Nidorina,30,1,Global,3,Wild,,Nidoran♀,Nidoqueen,100,2,12,Linear - 2,,,,,,,,Poison,,Poison,Cloudy,,117,126,140,1044,1218,3,,,Poison Sting,Bite,Poison Sting / Bite,Poison Fang,Sludge Bomb,Dig,,,,,Poison Fang / Sludge Bomb / Dig,,,,,,,,,,,,,,,
Nidoqueen,31,1,Global,5,Wild,4,Nidorina,,-,3,12,Linear - 3,,,,,,,,Poison,Ground,Poison / Ground,Cloudy,Clear,180,174,180,2004,2338,3,,,Poison Jab,Bite,Poison Jab / Bite,Stone Edge,Sludge Wave,Earthquake,,,,,Stone Edge / Sludge Wave / Earthquake,,,23216,1267,1336,,,,,,,,,,
Nidoran♂,32,1,Global,2,Wild,,,Nidorino,25,1,13,Linear - 1,,,,,,,,Poison,,Poison,Cloudy,,105,76,92,634,739,3,,,Poison Sting,Peck,Poison Sting / Peck,Horn Attack,Body Slam,Sludge Bomb,,,,,Horn Attack / Body Slam / Sludge Bomb,,,,,,,,,,,,,,,
Nidorino,33,1,Global,3,Wild,,Nidoran♂,Nidoking,100,2,13,Linear - 2,,,,,,,,Poison,,Poison,Cloudy,,137,112,122,1073,1252,3,,,Poison Jab,Bite,Poison Jab / Bite,Horn Attack,Dig,Sludge Bomb,,,,,Horn Attack / Dig / Sludge Bomb,,,,,,,,,,,,,,,
Nidoking,34,1,Global,5,Wild,4,Nidorino,,-,3,13,Linear - 3,,,,,,,,Poison,Ground,Poison / Ground,Cloudy,Clear,204,157,162,2045,2386,3,,,Poison Jab,Iron Tail,Poison Jab / Iron Tail,Megahorn,Earthquake,Sludge Wave,,,,,Megahorn / Earthquake / Sludge Wave,,,24873,1294,1363,,,,,,,,,,
Clefairy,35,1,Global,3,Wild,,Cleffa,Clefable,50,1,14,Linear - 1,Baby,,,,,,,Fairy,,Fairy,Cloudy,,107,116,140,930,1085,1,,,Pound,Zen Headbutt,Pound / Zen Headbutt,Body Slam,Disarming Voice,Moonblast,,,,,Body Slam / Disarming Voice / Moonblast,,,,,,,,,,,,,,,
Clefable,36,1,Global,4,Wild,,Clefairy,,-,2,14,Linear - 2,Baby,,,,,,,Fairy,,Fairy,Cloudy,,178,171,190,2017,2353,1,,,Charge Beam,Zen Headbutt,Charge Beam / Zen Headbutt,Psychic,Dazzling Gleam,Moonblast,,,,,Psychic / Dazzling Gleam / Moonblast,,,,,,,,,,,,,,,
Vulpix,37,1,Global,3,Wild,,,Ninetales,50,1,15,Linear - 1,,,,,,,,Fire,,Fire,Clear,,96,122,76,664,774,3,,,Quick Attack,Ember,Quick Attack / Ember,Body Slam,Flamethrower,Flame Charge,,,,,Body Slam / Flamethrower / Flame Charge,,,,,,,,,,,,,,,
Ninetales,38,1,Global,6,Wild,3,Vulpix,,-,2,15,Linear - 2,,,,,,,,Fire,,Fire,Clear,,169,204,146,1849,2157,3,,,Feint Attack,Fire Spin,Feint Attack / Fire Spin,Heat Wave,Solar Beam,,,,,,Heat Wave / Solar Beam,,,14914,1167,1233,,,,,,,,,,
Jigglypuff,39,1,Global,3,Wild,,Igglybuff,Wigglytuff,50,1,16,Linear - 1,Baby,,,,,,,Normal,Fairy,Normal / Fairy,Partly Cloudy,Cloudy,80,44,230,611,713,1,,,Feint Attack,Pound,Feint Attack / Pound,Disarming Voice,Gyro Ball,Dazzling Gleam,,,,,Disarming Voice / Gyro Ball / Dazzling Gleam,,,,,,,,,,,,,,,
Wigglytuff,40,1,Global,5,Wild,,Jigglypuff,,-,2,16,Linear - 2,Baby,,,,,,,Normal,Fairy,Normal / Fairy,Partly Cloudy,Cloudy,156,93,280,1634,1906,1,,,Feint Attack,Pound,Feint Attack / Pound,Dazzling Gleam,Hyper Beam,Play Rough,,,,,Dazzling Gleam / Hyper Beam / Play Rough,,,,,,,,,,,,,,,
Zubat,41,1,Global,1,Wild,,,Golbat,50,1,17,Linear - 1,Linear - 3,,,,,,,Poison,Flying,Poison / Flying,Cloudy,Windy,83,76,80,488,569,1,,,Bite,Quick Attack,Bite / Quick Attack,Poison Fang,Air Cutter,Swift,,,,,Poison Fang / Air Cutter / Swift,,,,,,,,,,,,,,,
Golbat,42,1,Global,3,Wild,,Zubat,Crobat,-,2,17,Linear - 2,Linear - 3,,,,,,,Poison,Flying,Poison / Flying,Cloudy,Windy,161,153,150,1569,1830,1,,,Bite,Wing Attack,Bite / Wing Attack,Shadow Ball,Air Cutter,Poison Fang,,,,,Shadow Ball / Air Cutter / Poison Fang,,,,,,,,,,,,,,,
Oddish,43,1,Global,2,Wild,,,Gloom,25,1,18,Linear - 1,Alt - 3,,,,,,,Grass,Poison,Grass / Poison,Clear,Cloudy,131,116,90,916,1069,3,2,,Razor Leaf,Acid,Razor Leaf / Acid,Moonblast,Seed Bomb,Sludge Bomb,,,,,Moonblast / Seed Bomb / Sludge Bomb,,,,,,,,,,,,,,,
Gloom,44,1,Global,4,Wild,,Oddish,Vileplume / Bellossom,100,2,18,Linear - 2,Alt - 3,,,,,,,Grass,Poison,Grass / Poison,Clear,Cloudy,153,139,120,1296,1512,3,,,Razor Leaf,Acid,Razor Leaf / Acid,Moonblast,Petal Blizzard,Sludge Bomb,,,,,Moonblast / Petal Blizzard / Sludge Bomb,,,,,,,,,,,,,,,
Vileplume,45,1,Global,6,Wild,,Gloom,,-,3,18,Linear - 3,Alt - 3,,,,,,,Grass,Poison,Grass / Poison,Clear,Cloudy,202,170,150,2029,2367,3,,,Razor Leaf,Acid,Razor Leaf / Acid,Moonblast,Petal Blizzard,Solar Beam,,,,,Moonblast / Petal Blizzard / Solar Beam,,,,,,,,,,,,,,,
Paras,46,1,Global,2,Wild,,,Parasect,50,1,19,Linear - 1,,,,,,,,Bug,Grass,Bug / Grass,Rain,Clear,121,99,70,717,836,3,,,Scratch,Bug Bite,Scratch / Bug Bite,Seed Bomb,Cross Poison,,,,,,Seed Bomb / Cross Poison,,,,,,,,,,,,,,,
Parasect,47,1,Global,4,Wild,,Paras,,-,2,19,Linear - 2,,,,,,,,Bug,Grass,Bug / Grass,Rain,Clear,165,146,120,1421,1657,3,,,Struggle Bug,Fury Cutter,Struggle Bug / Fury Cutter,Solar Beam,Cross Poison,,,,,,Solar Beam / Cross Poison,,,,,,,,,,,,,,,
Venonat,48,1,Global,2,Wild,,,Venomoth,50,1,20,Linear - 1,,,,,,,,Bug,Poison,Bug / Poison,Rain,Cloudy,100,102,120,773,902,3,,,Bug Bite,Confusion,Bug Bite / Confusion,Poison Fang,Psybeam,Signal Beam,,,,,Poison Fang / Psybeam / Signal Beam,,,,,,,,,,,,,,,
Venomoth,49,1,Global,4,Wild,,Venonat,,-,2,20,Linear - 2,,,,,,,,Bug,Poison,Bug / Poison,Rain,Cloudy,179,150,140,1661,1937,3,,,Infestation,Confusion,Infestation / Confusion,Silver Wind,Psychic,Bug Buzz,,,,,Silver Wind / Psychic / Bug Buzz,,,,,,,,,,,,,,,
Diglett,50,1,Global,3,Wild,,,Dugtrio,50,1,21,Linear - 1,,,,,,,,Ground,,Ground,Clear,,109,88,20,399,465,3,,,Scratch,Mud Slap,Scratch / Mud Slap,Rock Tomb,Dig,Mud Bomb,,,,,Rock Tomb / Dig / Mud Bomb,,,,,,,,,,,,,,,
Dugtrio,51,1,Global,5,Wild,,Diglett,,-,2,21,Linear - 2,,,,,,,,Ground,,Ground,Clear,,167,147,70,1143,1333,3,,,Sucker Punch,Mud Slap,Sucker Punch / Mud Slap,Stone Edge,Earthquake,Mud Bomb,,,,,Stone Edge / Earthquake / Mud Bomb,,,,,,,,,,,,,,,
Meowth,52,1,Global,2,Wild,,,Persian,50,1,22,Linear - 1,,,,,,,,Normal,,Normal,Partly Cloudy,,92,81,80,547,638,3,,,Scratch,Bite,Scratch / Bite,Night Slash,Dark Pulse,Foul Play,,,,,Night Slash / Dark Pulse / Foul Play,,,,,,,,,,,,,,,
Persian,53,1,Global,5,Wild,,Meowth,,-,2,22,Linear - 2,,,,,,,,Normal,,Normal,Partly Cloudy,,150,139,130,1319,1539,3,,,Scratch,Feint Attack,Scratch / Feint Attack,Foul Play,Power Gem,Play Rough,,,,,Foul Play / Power Gem / Play Rough,,,,,,,,,,,,,,,
Psyduck,54,1,Global,3,Wild,,,Golduck,50,1,23,Linear - 1,,,,,,,,Water,,Water,Rain,,122,96,100,828,966,3,,,Zen Headbutt,Water Gun,Zen Headbutt / Water Gun,Aqua Tail,Cross Chop,Psybeam,,,,,Aqua Tail / Cross Chop / Psybeam,,,,,,,,,,,,,,,
Golduck,55,1,Global,4,Wild,,Psyduck,,-,2,23,Linear - 2,,,,,,,,Water,,Water,Rain,,191,163,160,1946,2270,3,,,Confusion,Water Gun,Confusion / Water Gun,Hydro Pump,Ice Beam,Psychic,,,,,Hydro Pump / Ice Beam / Psychic,,,,,,,,,,,,,,,
Mankey,56,1,Global,3,Wild,,,Primeape,50,1,24,Linear - 1,,,,,,,,Fighting,,Fighting,Cloudy,,148,87,80,859,1002,3,,,Karate Chop,Scratch,Karate Chop / Scratch,Cross Chop,Low Sweep,Brick Break,,,,,Cross Chop / Low Sweep / Brick Break,,,,,,,,,,,,,,,
Primeape,57,1,Global,5,Wild,,Mankey,,-,2,24,Linear - 2,,,,,,,,Fighting,,Fighting,Cloudy,,207,144,130,1805,2105,3,,,Low Kick,Counter,Low Kick / Counter,Close Combat,Low Sweep,Night Slash,,,,,Close Combat / Low Sweep / Night Slash,,,,,,,,,,,,,,,
Growlithe,58,1,Global,4,Wild,,,Arcanine,50,1,25,Linear - 1,,,,,,,,Fire,,Fire,Clear,,136,96,110,952,1110,3,5,,Ember,Bite,Ember / Bite,Flame Wheel,Body Slam,Flamethrower,,,,,Flame Wheel / Body Slam / Flamethrower,,,,,,,,,,,,,,,
Arcanine,59,1,Global,6,Wild,,Growlithe,,-,2,25,Linear - 2,,,,,,,,Fire,,Fire,Clear,,227,166,180,2434,2839,3,,,Fire Fang,Snarl,Fire Fang / Snarl,Fire Blast,Wild Charge,Crunch,,,,,Fire Blast / Wild Charge / Crunch,,,,,,,,,,,,,,,
Poliwag,60,1,Global,3,Wild,,,Poliwhirl,25,1,26,Linear - 1,Alt - 3,,,,,,,Water,,Water,Rain,,101,82,80,596,695,3,5,,Bubble,Mud Shot,Bubble / Mud Shot,Bubble Beam,Mud Bomb,Body Slam,,,,,Bubble Beam / Mud Bomb / Body Slam,,,,,,,,,,,,,,,
Poliwhirl,61,1,Global,4,Wild,,Poliwag,Poliwrath / Politoed,100,2,26,Linear - 2,Alt - 3,,,,,,,Water,,Water,Rain,,130,130,130,1126,1313,3,,,Bubble,Mud Shot,Bubble / Mud Shot,Water Pulse,Mud Bomb,Bubble Beam,,,,,Water Pulse / Mud Bomb / Bubble Beam,,,,,,,,,,,,,,,
Poliwrath,62,1,Global,5,Wild,4,Poliwhirl,,-,3,26,Linear - 3,Alt - 3,,,,,,,Water,Fighting,Water / Fighting,Rain,Cloudy,182,187,180,2093,2441,3,,,Bubble,Rock Smash,Bubble / Rock Smash,Hydro Pump,Dynamic Punch,Ice Punch,,,,,Hydro Pump / Dynamic Punch / Ice Punch,,,24247,1325,1395,,,,,,,,,,
Abra,63,1,Global,3,Wild,,,Kadabra,25,1,27,Linear - 1,,,,,,,,Psychic,,Psychic,Windy,,195,103,50,984,1148,3,2,,Zen Headbutt,Charge Beam,Zen Headbutt / Charge Beam,Shadow Ball,Signal Beam,Psyshock,,,,,Shadow Ball / Signal Beam / Psyshock,,,,,,,,,,,,,,,
Kadabra,64,1,Global,4,Wild,,Abra,Alakazam,100,2,27,Linear - 2,,,,,,,,Psychic,,Psychic,Windy,,232,138,80,1594,1859,3,,,Confusion,Psycho Cut,Confusion / Psycho Cut,Shadow Ball,Dazzling Gleam,Psybeam,,,,,Shadow Ball / Dazzling Gleam / Psybeam,,,,,,,,,,,,,,,
Alakazam,65,1,Global,6,Wild,3,Kadabra,,-,3,27,Linear - 3,,,,,,,,Psychic,,Psychic,Windy,,271,194,110,2475,2887,3,,,Confusion,Psycho Cut,Confusion / Psycho Cut,Futuresight,Focus Blast,Shadow Ball,,,,,Futuresight / Focus Blast / Shadow Ball,,,22646,1569,1649,,,,,,,,,,
Machop,66,1,Global,4,Wild,,,Machoke,25,1,28,Linear - 1,,,,,,,,Fighting,,Fighting,Cloudy,,137,88,140,1028,1199,3,2,,Rock Smash,Karate Chop,Rock Smash / Karate Chop,Low Sweep,Brick Break,Cross Chop,,,,,Low Sweep / Brick Break / Cross Chop,,,,,,,,,,,,,,,
Machoke,67,1,Global,5,Wild,,Machop,Machamp,100,2,28,Linear - 2,,,,,,,,Fighting,,Fighting,Cloudy,,177,130,160,1637,1910,3,,,Low Kick,Karate Chop,Low Kick / Karate Chop,Submission,Brick Break,Dynamic Punch,,,,,Submission / Brick Break / Dynamic Punch,,,,,,,,,,,,,,,
Machamp,68,1,Global,6,Wild,3,Machoke,,-,3,28,Linear - 3,,,,,,,,Fighting,,Fighting,Cloudy,,234,162,180,2477,2889,3,,,Bullet Punch,Counter,Bullet Punch / Counter,Heavy Slam,Dynamic Punch,Close Combat,,,,,Heavy Slam / Dynamic Punch / Close Combat,,,18144,1574,1650,,,,,,,,,,
Bellsprout,69,1,Global,2,Wild,,,Weepinbell,25,1,29,Linear - 1,,,,,,,,Grass,Poison,Grass / Poison,Clear,Cloudy,139,64,100,785,916,3,,,Vine Whip,Acid,Vine Whip / Acid,Sludge Bomb,Power Whip,Wrap,,,,,Sludge Bomb / Power Whip / Wrap,,,,,,,,,,,,,,,
Weepinbell,70,1,Global,4,Wild,,Bellsprout,Victreebel,100,2,29,Linear - 2,,,,,,,,Grass,Poison,Grass / Poison,Clear,Cloudy,172,95,130,1265,1475,3,,,Bullet Seed,Acid,Bullet Seed / Acid,Sludge Bomb,Power Whip,Seed Bomb,,,,,Sludge Bomb / Power Whip / Seed Bomb,,,,,,,,,,,,,,,
Victreebel,71,1,Global,6,Wild,4,Weepinbell,,-,3,29,Linear - 3,,,,,,,,Grass,Poison,Grass / Poison,Clear,Cloudy,207,138,160,1944,2268,3,,,Razor Leaf,Acid,Razor Leaf / Acid,Sludge Bomb,Leaf Blade,Solar Beam,,,,,Sludge Bomb / Leaf Blade / Solar Beam,,,23780,1228,1296,,,,,,,,,,
Tentacool,72,1,Global,3,Wild,,,Tentacruel,50,1,30,Linear - 1,,,,,,,,Water,Poison,Water / Poison,Rain,Cloudy,97,182,80,820,956,3,,,Bubble,Poison Sting,Bubble / Poison Sting,Bubble Beam,Water Pulse,Wrap,,,,,Bubble Beam / Water Pulse / Wrap,,,,,,,,,,,,,,,
Tentacruel,73,1,Global,4,Wild,2,Tentacool,,-,2,30,Linear - 2,,,,,,,,Water,Poison,Water / Poison,Rain,Cloudy,166,237,160,2035,2374,3,,,Acid,Poison Jab,Acid / Poison Jab,Blizzard,Hydro Pump,Sludge Wave,,,,,Blizzard / Hydro Pump / Sludge Wave,,,12190,1287,1356,,,,,,,,,,
